nombre,poblacion,superficie,continente
Argentina,500,100,América del Sur
Brasil,214326223,8515767,America del Sur
Chile,19493184,756102,America del Sur
Colombia,51516562,1141748,America del Sur
Estados Unidos,331893745,9833517,America del Norte
Mexico,126705138,1964375,America del Norte
Canada,38246108,9984670,America del Norte
España,47432805,505990,Europa
Francia,67871925,643801,Europa
Alemania,83408554,357022,Europa
China,1411750000,9596961,Asia
India,1393409038,3287263,Asia
Japon,125584838,377975,Asia
Australia,25921089,7692024,Oceania
Sudafrica,60142978,1221037,África
